date,open,high,low,close,volume,date_1w,open_1w,high_1w,low_1w,close_1w,volume_1w,extrema_1w,change_1w
2024-12-17 14:00:00+00:00,1.1016,1.1023,1.0935,1.0974,2499002.0,,,,,,,,
2024-12-17 14:15:00+00:00,1.0974,1.1016,1.0918,1.0961,3779233.0,,,,,,,,
2024-12-17 14:30:00+00:00,1.0961,1.1004,1.0786,1.0911,8539698.0,,,,,,,,
2024-12-17 14:45:00+00:00,1.0911,1.0992,1.0871,1.0939,4523427.0,,,,,,,,
2024-12-17 15:00:00+00:00,1.0939,1.0947,1.0712,1.0735,7023574.0,,,,,,,,
2024-12-17 15:15:00+00:00,1.0735,1.075,1.0624,1.0637,11309835.0,,,,,,,,
2024-12-17 15:30:00+00:00,1.0637,1.0771,1.0636,1.0738,6058849.0,,,,,,,,
2024-12-17 15:45:00+00:00,1.0738,1.0738,1.0644,1.0707,4832163.0,,,,,,,,
2024-12-17 16:00:00+00:00,1.0707,1.0843,1.0636,1.0834,6166823.0,,,,,,,,
2024-12-17 16:15:00+00:00,1.0834,1.0862,1.0752,1.0815,2763326.0,,,,,,,,
2024-12-17 16:30:00+00:00,1.0815,1.0824,1.0755,1.0764,1548280.0,,,,,,,,
2024-12-17 16:45:00+00:00,1.0764,1.0816,1.072,1.0808,1700798.0,,,,,,,,
2024-12-17 17:00:00+00:00,1.0808,1.0875,1.0769,1.0806,2059130.0,,,,,,,,
2024-12-17 17:15:00+00:00,1.0806,1.0934,1.0786,1.0932,3565883.0,,,,,,,,
2024-12-17 17:30:00+00:00,1.0932,1.0991,1.091,1.0961,3922242.0,,,,,,,,
2024-12-17 17:45:00+00:00,1.0961,1.0994,1.092,1.0928,1805565.0,,,,,,,,
2024-12-17 18:00:00+00:00,1.0928,1.0981,1.0922,1.0939,1528255.0,,,,,,,,
2024-12-17 18:15:00+00:00,1.0939,1.0946,1.0805,1.0837,3240173.0,,,,,,,,
2024-12-17 18:30:00+00:00,1.0837,1.0886,1.0837,1.0846,1537357.0,,,,,,,,
2024-12-17 18:45:00+00:00,1.0846,1.0858,1.0741,1.0751,2901330.0,,,,,,,,
2024-12-17 19:00:00+00:00,1.0751,1.0774,1.0668,1.0728,3027850.0,,,,,,,,
2024-12-17 19:15:00+00:00,1.0728,1.0788,1.0695,1.0732,3350147.0,,,,,,,,
2024-12-17 19:30:00+00:00,1.0732,1.0749,1.0678,1.0745,2393666.0,,,,,,,,
2024-12-17 19:45:00+00:00,1.0745,1.0762,1.071,1.0728,2531819.0,,,,,,,,
2024-12-17 20:00:00+00:00,1.0728,1.078,1.0683,1.0717,1603112.0,,,,,,,,
2024-12-17 20:15:00+00:00,1.0717,1.0758,1.0713,1.0732,1502311.0,,,,,,,,
2024-12-17 20:30:00+00:00,1.0732,1.0811,1.0694,1.0795,4142481.0,,,,,,,,
2024-12-17 20:45:00+00:00,1.0795,1.083,1.073,1.0741,3799362.0,,,,,,,,
2024-12-17 21:00:00+00:00,1.0741,1.0754,1.0644,1.0748,4011179.0,,,,,,,,
2024-12-17 21:15:00+00:00,1.0748,1.0817,1.0733,1.0768,2055434.0,,,,,,,,
2024-12-17 21:30:00+00:00,1.0768,1.0785,1.0728,1.0745,1525453.0,,,,,,,,
2024-12-17 21:45:00+00:00,1.0745,1.0779,1.0715,1.0724,1310928.0,,,,,,,,
2024-12-17 22:00:00+00:00,1.0724,1.0748,1.0668,1.0696,1795678.0,,,,,,,,
2024-12-17 22:15:00+00:00,1.0696,1.0704,1.0582,1.063,3125769.0,,,,,,,,
2024-12-17 22:30:00+00:00,1.063,1.0665,1.0556,1.0556,2650628.0,,,,,,,,
2024-12-17 22:45:00+00:00,1.0556,1.0572,1.0502,1.0543,3476423.0,,,,,,,,
2024-12-17 23:00:00+00:00,1.0543,1.0543,1.0416,1.0444,6280777.0,,,,,,,,
2024-12-17 23:15:00+00:00,1.0444,1.056,1.0419,1.0531,2819782.0,,,,,,,,
2024-12-17 23:30:00+00:00,1.0531,1.055,1.0464,1.0541,4579412.0,,,,,,,,
2024-12-17 23:45:00+00:00,1.0541,1.0562,1.0482,1.052,5466475.0,,,,,,,,
2024-12-18 00:00:00+00:00,1.052,1.058,1.0491,1.056,3044260.0,,,,,,,,
2024-12-18 00:15:00+00:00,1.056,1.0589,1.0469,1.0491,3713616.0,,,,,,,,
2024-12-18 00:30:00+00:00,1.0491,1.0508,1.0405,1.0497,6461607.0,,,,,,,,
2024-12-18 00:45:00+00:00,1.0497,1.0575,1.0483,1.052,2712830.0,,,,,,,,
2024-12-18 01:00:00+00:00,1.052,1.0588,1.0506,1.0558,2239191.0,,,,,,,,
2024-12-18 01:15:00+00:00,1.0558,1.0598,1.0543,1.0546,1571463.0,,,,,,,,
2024-12-18 01:30:00+00:00,1.0546,1.0586,1.0487,1.0515,1807666.0,,,,,,,,
2024-12-18 01:45:00+00:00,1.0515,1.0554,1.0352,1.0389,6632565.0,,,,,,,,
2024-12-18 02:00:00+00:00,1.0389,1.0531,1.0351,1.0492,6367682.0,,,,,,,,
2024-12-18 02:15:00+00:00,1.0492,1.0555,1.0476,1.0489,2224282.0,,,,,,,,
2024-12-18 02:30:00+00:00,1.0489,1.0509,1.046,1.0488,1841179.0,,,,,,,,
2024-12-18 02:45:00+00:00,1.0488,1.0517,1.0459,1.0498,1057776.0,,,,,,,,
2024-12-18 03:00:00+00:00,1.0498,1.0521,1.0406,1.0413,5892952.0,,,,,,,,
